"Country Code","Region","IncomeGroup","SpecialNotes","TableName",
"MNE","Europe & Central Asia","Upper middle income","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.","Montenegro",
"MNG","East Asia & Pacific","Lower middle income","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1991-1992. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Mongolia",
"MNP","East Asia & Pacific","High income","","Northern Mariana Islands",
"MOZ","Sub-Saharan Africa","Low income","","Mozambique",
"MRT","Sub-Saharan Africa","Lower middle income","National account data were adjusted to reflect the new banknote (1 new ouguiya = 10 old ouguiya)","Mauritania",
"MUS","Sub-Saharan Africa","Upper middle income","","Mauritius",
"MWI","Sub-Saharan Africa","Low income","","Malawi",
"MYS","East Asia & Pacific","Upper middle income","","Malaysia",
"NAM","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Namibia",
"NCL","East Asia & Pacific","High income","","New Caledonia",
"NER","Sub-Saharan Africa","Low income","","Niger",
"NGA","Sub-Saharan Africa","Lower middle income","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1971-1998 and 2018-2019. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Nigeria",
"NIC","Latin America & Caribbean","Lower middle income","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1985-1993. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Nicaragua",
"NLD","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Netherlands",
"NOR","Europe & Central Asia","High income","","Norway",
"NPL","South Asia","Lower middle income","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: July 14). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","Nepal",
"NZL","East Asia & Pacific","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","New Zealand",
"OMN","Middle East & North Africa","High income","","Oman",
"PAK","South Asia","Lower middle income","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).","Pakistan",
"PRK","East Asia & Pacific","Low income","","Korea, Dem. People's Rep.",
"XKX","Europe & Central Asia","Upper middle income","","Kosovo",
